Date,Bitcoin My Wallet Number of Users,Bitcoin Market Price USD,Bitcoin USD Exchange Trade Volume,Bitcoin Difficulty,Bitcoin My Wallet Number of Transaction Per Day,Bitcoin My Wallet Transaction Volume,Bitcoin Average Block Size,Bitcoin api.blockchain Size,Bitcoin Miners Revenue,Bitcoin Hash Rate,Bitcoin Estimated Transaction Volume USD,Bitcoin Estimated Transaction Volume,Bitcoin Total Output Volume,Bitcoin Number of Transaction per Block,Bitcoin Number of Transactions Excluding Popular Addresses,Bitcoin Total Number of Transactions,Bitcoin Number of Transactions,Bitcoin Cost Per Transaction,Bitcoin Cost % of Transaction Volume,Total Bitcoins
02-12-18,"22,994,461","8,598","188,454,379","2,874,674,234,420","50,262","68,721",1,"156,580","17,728,597","23,435,736","1,263,264,354","146,929","1,315,763","1,116","179,616","299,275,188","182,984",100,1,"16,863,313"
02-11-18,"22,991,753","8,811","836,623,674","2,874,674,234,420","52,481","90,988",1,"156,411","18,398,085","23,721,538","1,595,114,436","181,030","1,674,742","1,126","183,345","299,092,204","186,918",101,1,"16,861,263"
02-10-18,"22,953,139","8,343","796,391,654","2,874,674,234,420","50,055","53,038",1,"156,238","15,831,706","21,578,026","715,801,285","85,792","1,398,605",975,"144,165","298,905,286","147,208",110,2,"16,859,188"
02-09-18,"22,946,498","8,320","918,540,174","2,874,674,234,420","41,153","37,109",1,"156,086","15,154,655","20,434,819","966,861,580","116,211","1,537,986","1,271","177,603","298,758,078","181,783",86,2,"16,857,300"
02-08-18,"22,907,903","8,536","1,093,134,650","2,874,674,234,420","65,737","54,817",1,"155,938","14,685,356","19,291,612","1,702,603,673","199,473","1,144,163","1,317","173,698","298,576,295","177,860",85,1,"16,855,513"
02-07-18,"22,883,357","8,241","1,336,661,911","2,874,674,234,420","39,627","70,425",1,"155,793","13,782,298","18,720,009","1,764,215,069","214,090","1,171,510","1,323","166,517","298,398,435","173,289",82,1,"16,853,825"
02-06-18,"22,877,387","8,100","1,670,287,564","2,874,674,234,420","51,380","74,606",1,"155,655","14,762,174","20,149,017","1,686,470,712","208,207","1,160,112","1,516","205,988","298,225,146","213,719",71,1,"16,852,188"
02-05-18,"22,833,137","7,686","3,094,258,118","2,607,870,187,290","48,906","63,697",1,"155,504","17,000,621","24,293,141","2,199,269,651","286,153","1,914,333","1,436","238,351","298,011,427","244,120",72,1,"16,850,425"
02-04-18,"22,827,172","6,839","1,793,319,477","2,603,077,300,220","43,995","55,604",1,"155,323","16,457,612","23,938,940","1,758,323,361","257,109","1,848,913","1,170","208,757","297,767,307","216,363",79,1,"16,848,300"
02-03-18,"22,783,332","8,401","1,080,682,795","2,603,077,300,220","37,593","64,571",1,"155,119","19,061,071","23,033,142","1,623,376,684","193,244","972,249",976,"165,753","297,550,944","173,687",113,1,"16,845,988"
02-02-18,"22,775,834","9,077","952,403,805","2,603,077,300,220","50,964","49,984",1,"154,942","18,561,807","20,445,149","1,491,970,146","164,374","910,042","1,233","184,856","297,377,257","194,891",99,1,"16,843,763"
02-01-18,"22,727,139","8,902","2,213,436,748","2,603,077,300,220","42,136","139,289",1,"154,785","20,349,747","21,739,145","2,944,216,908","330,740","1,460,796","1,404","229,894","297,182,366","235,918",90,1,"16,841,788"
01-31-18,"22,697,724","9,083","1,509,688,358","2,603,077,300,220","52,306","72,064",1,"154,613","19,329,174","20,703,948","2,515,366,060","276,923","2,190,613","1,610","249,466","296,946,448","257,664",78,1,"16,839,688"
01-30-18,"22,694,466","10,125","933,239,778","2,603,077,300,220","48,384","69,156",1,"154,445","15,840,583","15,139,762","1,618,658,854","159,867","1,785,708","1,746","197,264","296,688,784","204,276",81,1,"16,837,688"
01-29-18,"22,639,297","10,184","1,266,284,116","2,603,077,300,220","46,058","92,123",1,"154,323","22,124,874","21,609,746","1,759,355,793","172,756","2,359,671","1,417","230,310","296,484,508","236,609",97,1,"16,836,225"
01-28-18,"22,632,358","11,213","611,119,735","2,603,077,300,220","45,559","56,230",1,"154,158","21,651,637","19,151,152","1,800,278,170","160,558","1,941,049","1,569","225,983","296,247,899","232,176",96,1,"16,834,138"
01-27-18,"22,577,505","11,766","738,104,167","2,603,077,300,220","42,867","49,041",1,"154,007","24,143,237","20,445,149","1,924,759,198","163,591","3,128,906","1,351","205,967","296,015,723","213,446",117,1,"16,832,288"
01-26-18,"22,573,632","11,525","763,094,646","2,603,077,300,220","49,434","49,101",1,"153,844","23,654,604","20,315,749","1,380,662,035","119,799","1,363,301","1,233","188,058","295,802,277","193,578",127,2,"16,830,313"
01-25-18,"22,518,982","10,970","1,135,179,207","2,603,077,300,220","40,957","56,251",1,"153,681","22,680,093","20,056,950","2,822,337,880","257,282","1,702,177","1,422","214,772","295,608,699","220,459",107,1,"16,828,350"
01-24-18,"22,508,835","11,214","772,706,343","2,460,585,023,620","43,222","80,472",1,"153,519","23,853,114","20,445,149","2,123,135,103","189,322","1,357,490","1,497","227,471","295,388,240","236,580",104,1,"16,826,413"
01-23-18,"22,473,740","11,282","921,820,891","2,227,847,638,500","43,505","74,526",1,"153,344","27,021,009","19,491,456","2,100,547,354","186,181","1,502,764","1,423","241,244","295,151,660","250,423",112,1,"16,824,438"
01-22-18,"22,448,486","11,223","1,305,109,028","2,227,847,638,500","54,677","115,858",1,"153,156","27,086,865","19,602,203","2,003,121,185","178,483","1,539,514","1,536","232,259","294,901,237","271,936",103,1,"16,822,238"
01-21-18,"22,421,059","10,545","1,210,203,941","2,227,847,638,500","54,852","85,571",1,"152,966","24,447,640","18,494,733","2,099,490,616","199,106","1,525,532","1,470","235,003","294,629,301","245,562",103,1,"16,820,025"
01-20-18,"22,359,417","11,505","436,195,519","2,227,847,638,500","63,495","80,103",1,"152,786","29,815,798","20,709,672","1,773,530,155","154,150","1,108,525","1,153","207,718","294,383,739","215,622",143,2,"16,817,938"
01-19-18,"22,349,343","12,951","1,097,313,787","2,227,847,638,500","66,631","140,931",1,"152,584","33,309,440","19,712,949","2,694,792,832","208,079","1,460,378","1,352","230,899","294,168,117","240,611",143,1,"16,815,600"
01-18-18,"22,280,452","11,422","1,064,413,370","2,227,847,638,500","67,827","57,311",1,"152,387","28,241,983","18,273,240","2,503,297,607","219,156","1,953,500","1,476","231,462","293,927,506","243,619",120,1,"16,813,375"
01-17-18,"22,274,018","11,345","1,771,113,579","2,227,847,638,500","70,019","108,964",1,"152,214","31,046,751","19,159,215","2,711,507,318","238,996","2,156,724","1,789","293,730","293,683,887","309,495",103,1,"16,811,313"
01-16-18,"22,199,550","11,117","2,926,596,198","2,227,847,638,500","74,490","93,841",1,"152,032","29,865,677","18,494,733","2,806,040,584","252,411","2,469,526","1,891","300,012","293,374,392","315,771",97,1,"16,809,150"
01-15-18,"22,159,448","11,181","2,762,626,869","2,227,847,638,500","88,936","129,873",1,"151,855","28,025,172","17,608,758","3,021,888,568","270,270","2,889,287","1,910","287,366","293,058,621","303,725",95,1,"16,807,063"
01-14-18,"22,154,863","14,012","758,546,179","2,227,847,638,500","74,175","107,603",1,"151,688","32,326,136","16,612,036","2,828,536,553","201,862","1,497,810","1,824","259,372","292,754,896","273,623",122,1,"16,805,075"
01-13-18,"22,080,990","13,853","804,914,642","2,227,847,638,500","81,608","114,588",1,"151,529","32,575,141","17,165,771","2,678,410,640","193,346","1,269,173","1,516","224,444","292,481,273","235,045",143,1,"16,803,200"
01-12-18,"22,069,779","14,500","740,504,187","2,134,254,177,770","92,443","81,932",1,"151,366","33,603,225","16,501,289","2,614,290,042","180,299","1,365,098","1,783","253,379","292,246,228","265,735",130,1,"16,801,263"
01-11-18,"22,002,952","13,913","1,014,053,986","1,931,136,454,490","103,296","113,522",1,"151,215","38,260,426","17,087,522","3,261,904,630","234,452","1,779,516","1,686","286,175","291,980,493","300,091",132,1,"16,799,400"
01-10-18,"21,942,468","13,297","1,663,185,738","1,931,136,454,490","72,179","176,239",1,"151,027","40,136,373","18,527,482","3,600,871,653","270,808","1,858,450","1,751","322,216","291,680,402","337,959",122,1,"16,797,175"
01-09-18,"21,935,758","15,126","1,634,548,780","1,931,136,454,490","40,456","93,751",1,"150,823","41,068,171","15,935,554","3,931,428,179","259,905","2,162,980","2,093","330,491","291,342,443","347,393",122,1,"16,794,763"
01-08-18,"21,843,667","14,714","1,182,426,648","1,931,136,454,490","68,654","120,304",1,"150,648","39,993,341","15,743,559","3,794,067,603","257,850","2,246,012","2,197","340,700","290,995,050","360,265",114,1,"16,792,688"
01-07-18,"21,829,648","15,266","1,742,246,004","1,931,136,454,490","82,967","116,608",1,"150,475","41,050,023","15,935,554","4,040,000,008","264,642","2,520,927","2,082","329,050","290,634,785","345,672",122,1,"16,790,638"
01-06-18,"21,747,072","16,651","946,406,885","1,931,136,454,490","95,492","112,597",1,"150,300","43,826,673","15,551,565","4,897,713,642","294,131","2,757,179","2,273","352,796","290,289,113","368,187",123,1,"16,788,563"
01-05-18,"21,732,800","17,319","1,024,721,001","1,931,136,454,490","82,178","75,886",1,"150,131","46,900,388","16,127,549","3,932,860,282","227,081","2,979,615","2,136","342,679","289,920,926","358,847",135,1,"16,786,538"
01-04-18,"21,636,969","17,174","1,764,169,571","1,931,136,454,490","66,294","68,110",1,"149,953","41,569,957","13,727,616","5,164,208,948","300,697","2,921,231","2,397","322,200","289,562,079","342,707",125,1,"16,784,438"
01-03-18,"21,593,351","15,199","1,371,803,860","1,931,136,454,490","98,564","143,781",1,"149,801","42,527,795","16,127,549","4,053,543,884","266,692","2,737,825","2,530","402,643","289,219,372","425,008",103,1,"16,782,650"
01-02-18,"21,580,676","15,053","1,138,506,779","1,931,136,454,490","101,161","160,376",1,"149,622","39,612,658","15,071,578","2,850,171,441","189,339","2,816,885","2,522","376,433","288,794,364","395,963",103,1,"16,780,550"
01-01-18,"21,509,704","15,006","1,567,582,732","1,931,136,454,490","75,102","129,300",1,"149,454","40,553,328","16,415,541","3,526,212,015","234,989","2,536,939","1,994","324,425","288,398,401","340,980",123,1,"16,778,588"
12-31-17,"21,506,448","13,812","744,866,631","1,922,580,604,980","80,874","120,724",1,"149,276","32,334,329","14,975,581","2,552,418,376","184,795","1,683,245","1,550","231,679","288,057,421","241,757",138,1,"16,776,450"
12-30-17,"21,468,633","14,166","1,142,728,355","1,873,105,475,220","77,678","107,284",1,"149,114","35,435,186","15,177,350","3,322,403,205","234,541","1,638,126","1,782","278,158","287,815,664","290,422",126,1,"16,774,500"
12-29-17,"21,400,134","13,216","1,728,481,567","1,873,105,475,220","70,565","66,556",1,"148,945","33,640,244","13,687,549","3,942,726,332","298,339","2,243,962","2,343","327,455","287,525,242","344,407",100,1,"16,772,463"
12-28-17,"21,358,221","14,640","1,274,049,464","1,873,105,475,220","75,988","69,073",1,"148,792","40,531,228","15,363,575","3,682,930,089","251,564","2,311,058","2,144","337,150","287,180,835","353,824",118,1,"16,770,625"
12-27-17,"21,346,025","14,381","1,883,494,461","1,873,105,475,220","62,870","87,323",1,"148,619","37,008,427","13,873,774","3,618,298,008","251,610","2,067,417","2,047","290,853","286,827,011","305,053",125,1,"16,768,563"
12-26-17,"21,261,978","15,589","1,619,268,857","1,873,105,475,220","87,303","125,738",1,"148,458","41,529,953","14,525,562","4,694,566,031","301,140","2,323,584","1,972","293,690","286,521,958","307,642",139,1,"16,766,700"
12-25-17,"21,249,422","15,999","1,745,062,014","1,873,105,475,220","52,308","71,473",1,"148,291","38,893,686","13,221,986","3,172,612,011","198,300","2,185,222","1,743","232,606","286,214,316","247,440",162,1,"16,764,750"
12-24-17,"21,173,119","14,119","1,134,112,808","1,873,105,475,220","79,792","102,327",1,"148,142","32,706,729","12,570,198","2,519,602,088","178,454","1,810,627","1,696","216,690","285,966,876","228,926",147,1,"16,762,975"
12-23-17,"21,165,559","13,949","1,798,168,178","1,873,105,475,220","79,580","92,703",1,"148,000","37,634,874","14,153,112","2,547,688,082","182,641","1,427,329","1,839","267,959","285,737,950","279,523",139,2,"16,761,288"
12-22-17,"21,100,453","15,360","1,967,536,506","1,873,105,475,220","65,790","60,372",1,"147,839","41,833,673","12,942,648","2,465,336,231","160,501","1,781,229","2,217","290,746","285,458,427","308,211",140,2,"16,759,388"
12-21-17,"20,997,662","15,191","5,352,015,516","1,873,105,475,220","71,800","59,377",1,"147,691","51,049,171","14,432,450","4,421,187,413","291,041","1,901,699","2,456","360,730","285,150,216","380,648",137,1,"16,757,650"
12-20-17,"20,979,889","16,048","1,989,091,729","1,873,105,475,220","67,726","87,274",1,"147,527","43,552,942","12,290,860","3,660,301,618","228,092","1,791,086","2,542","318,502","284,769,568","335,482",133,1,"16,755,713"
12-19-17,"20,843,609","16,026","2,752,775,707","1,873,105,475,220","75,780","96,962",1,"147,389","40,786,861","12,663,311","5,152,140,336","321,481","2,227,875","2,723","352,242","284,434,086","370,277",113,1,"16,754,063"
12-18-17,"20,822,024","17,737","2,215,330,001","1,873,105,475,220","81,718","119,744",1,"147,244","41,629,001","13,035,761","3,771,403,824","212,628","1,984,898","2,704","362,550","284,063,809","378,622",113,1,"16,752,363"
12-17-17,"20,693,380","18,962","2,021,140,821","1,718,045,833,480","62,542","97,818",1,"147,095","52,600,190","16,946,489","4,873,481,582","257,015","3,005,751","2,166","376,724","283,685,187","394,239",138,1,"16,750,613"
12-16-17,"20,675,865","19,290","1,641,066,518","1,590,896,927,260","61,688","100,419",1,"146,906","53,191,582","14,630,524","5,065,451,796","262,598","2,389,063","2,118","375,878","283,290,948","391,910",140,1,"16,748,338"
12-15-17,"20,555,567","19,499","1,636,509,992","1,590,896,927,260","33,412","85,474",1,"146,713","50,569,835","13,523,350","3,581,766,252","183,693","2,356,103","2,130","349,526","282,899,038","364,222",143,1,"16,746,025"
12-14-17,"20,538,020","17,772","2,066,395,217","1,590,896,927,260","41,910","83,202",1,"146,532","46,748,983","13,365,182","4,213,976,778","237,115","2,756,649","2,400","389,126","282,534,816","405,676",119,1,"16,743,888"
12-13-17,"20,390,317","16,679","610,207,127","1,590,896,927,260","50,788","97,241",1,"146,353","47,709,971","14,630,524","3,587,876,011","215,115","2,943,543","2,652","470,650","282,129,140","490,644",101,1,"16,741,775"
12-12-17,"20,361,642","16,808","2,027,550,685","1,590,896,927,260","80,847","147,038",1,"146,161","47,718,953","14,709,608","4,658,395,921","277,147","3,267,551","2,283","407,341","281,638,496","424,579",116,1,"16,739,463"
12-11-17,"20,287,315","17,276","1,992,977,378","1,590,896,927,260","63,818","121,416",1,"145,964","41,532,450","12,337,091","5,760,245,260","333,417","3,302,129","2,391","355,339","281,213,917","372,977",115,1,"16,737,138"
12-10-17,"20,193,317","16,762","2,487,997,751","1,590,896,927,260","87,384","128,190",1,"145,799","42,517,109","13,523,350","4,271,582,104","254,835","2,687,923","2,156","357,068","280,840,940","368,598",119,1,"16,735,188"
12-09-17,"20,068,797","14,870","2,539,286,893","1,590,896,927,260","69,333","98,416",1,"145,617","36,118,756","12,969,762","3,572,482,517","240,251","1,987,675","2,082","330,823","280,472,342","341,420",109,1,"16,733,050"
12-08-17,"20,043,920","15,143","2,195,860,927","1,590,896,927,260","57,157","54,710",1,"145,444","40,234,510","13,760,601","3,891,389,970","256,979","2,895,170","2,318","390,742","280,130,922","403,399",103,1,"16,731,000"
12-07-17,"19,936,050","16,007","3,800,432,532","1,590,896,927,260","78,108","74,911",1,"145,261","40,290,718","12,337,091","4,799,300,875","299,817","2,492,427","2,469","371,809","279,727,523","385,092",108,1,"16,728,825"
12-06-17,"19,820,798","16,502","4,548,758,962","1,590,896,927,260","58,368","103,698",1,"145,097","35,850,533","11,941,671","5,615,762,341","340,309","3,400,921","2,466","356,607","279,342,431","372,345",100,1,"16,726,863"
12-05-17,"19,746,602","13,541","1,982,715,220","1,407,975,304,730","75,205","136,961",1,"144,939","34,001,401","14,867,776","3,627,399,597","267,883","3,531,511","2,360","415,131","278,970,086","443,587",80,1,"16,724,975"
12-04-17,"19,682,034","11,878","999,891,970","1,347,001,430,560","69,431","91,338",1,"144,740","28,080,616","11,918,845","2,667,850,402","224,596","3,015,983","2,279","378,024","278,526,499","405,709",72,1,"16,722,625"
12-03-17,"19,597,900","11,585","1,283,672,891","1,347,001,430,560","55,498","76,863",1,"144,552","27,786,215","12,119,725","2,601,197,062","224,535","2,613,354","2,214","381,149","278,120,790","400,686",72,1,"16,720,400"
12-02-17,"19,546,323","11,333","592,011,274","1,347,001,430,560","79,024","87,201",1,"144,358","26,076,363","11,784,926","2,019,481,499","178,201","1,870,464","2,006","332,484","277,720,104","353,044",77,1,"16,718,138"
12-01-17,"19,479,107","11,071","965,994,254","1,347,001,430,560","76,653","58,124",1,"144,174","23,388,266","10,780,528","1,985,357,943","179,324","2,142,790","2,027","296,727","277,367,060","326,354",75,1,"16,715,938"
11-30-17,"19,430,457","10,884","1,589,331,513","1,347,001,430,560","47,173","48,390",1,"144,007","26,605,723","12,253,644","2,679,696,383","246,207","2,319,118","2,256","371,320","277,040,706","412,908",67,1,"16,713,925"
11-29-17,"19,336,323","10,147","2,130,663,923","1,347,001,430,560","45,580","85,406",1,"143,812","22,988,871","11,182,287","3,480,444,824","342,990","2,697,792","2,302","368,696","276,627,798","384,386",62,1,"16,711,638"
11-28-17,"19,261,417","9,879","3,006,736,495","1,347,001,430,560","57,861","85,179",1,"143,633","23,310,275","11,584,046","3,966,055,570","401,450","3,262,043","2,301","382,774","276,243,412","398,090",61,1,"16,709,550"
11-27-17,"19,190,597","9,953","824,886,242","1,347,001,430,560","82,193","112,052",1,"143,449","21,029,651","10,445,729","3,250,901,799","326,641","2,880,932","2,346","350,166","275,845,322","365,977",60,1,"16,707,388"
11-26-17,"19,152,189","9,718","1,100,089,827","1,347,001,430,560","80,143","154,107",1,"143,283","22,128,558","11,383,167","3,413,320,842","351,226","2,426,385","2,231","363,700","275,479,345","379,256",61,1,"16,705,438"
11-25-17,"19,107,369","9,284","183,816,238","1,347,001,430,560","69,986","208,094",1,"143,105","18,860,738","10,244,850","2,264,912,543","243,955","2,050,315","2,155","317,735","275,100,089","329,677",59,1,"16,703,313"
11-24-17,"19,072,913","8,707","677,327,101","1,347,001,430,560","59,568","95,384",1,"142,946","18,041,748","10,445,729","2,368,622,336","272,024","2,899,918","2,158","318,480","274,770,412","336,689",55,1,"16,701,400"
11-23-17,"19,046,316","8,251","644,675,715","1,361,966,821,650","74,716","93,690",1,"142,782","16,712,357","9,977,011","2,691,426,205","326,195","2,677,849","2,052","289,866","274,433,723","305,735",57,1,"16,699,450"
11-22-17,"19,004,440","8,149","425,395,615","1,364,422,081,120","60,366","102,021",1,"142,626","17,540,615","10,648,649","2,455,560,233","301,335","3,406,959","2,243","338,456","274,127,988","352,207",52,1,"16,697,588"
11-21-17,"18,966,444","8,268","494,283,581","1,364,422,081,120","88,436","112,858",1,"142,460","13,902,701","8,342,572","1,730,604,252","209,313","3,081,912","2,087","247,516","273,775,781","256,709",56,1,"16,695,313"
11-20-17,"18,937,477","8,060","1,004,515,767","1,364,422,081,120","77,708","120,417",1,"142,329","19,226,653","11,733,862","2,546,719,238","315,978","3,637,234","2,145","343,461","273,519,072","371,091",54,1,"16,693,775"
11-19-17,"18,889,321","8,256","546,752,953","1,364,422,081,120","79,307","128,912",1,"142,146","20,065,228","11,869,513","2,394,321,375","290,024","4,224,222","1,921","326,795","273,147,981","336,204",62,1,"16,691,613"
11-18-17,"18,855,103","8,008","541,743,547","1,364,422,081,120","79,133","105,131",1,"141,968","17,376,609","10,852,126","1,610,358,778","201,102","5,442,165","1,655","257,447","272,811,777","264,855",68,1,"16,689,425"
11-17-17,"18,832,344","7,817","541,082,171","1,364,422,081,120","77,340","79,969",1,"141,801","15,016,727","9,224,307","1,971,800,219","252,241","2,716,114","1,992","263,154","272,546,922","270,874",57,1,"16,687,425"
11-16-17,"18,797,412","7,787","1,009,820,548","1,364,422,081,120","70,631","118,660",1,"141,659","18,692,416","11,326,907","2,803,405,660","360,016","3,818,220","1,836","286,083","272,276,048","306,617",63,1,"16,685,725"
11-15-17,"18,757,563","7,815","1,167,106,378","1,364,422,081,120","71,336","127,009",1,"141,486","18,216,837","10,309,520","2,351,529,593","300,898","3,817,994","2,042","300,307","271,969,431","310,396",60,1,"16,683,638"
11-14-17,"18,732,076","7,301","925,948,610","1,364,422,081,120","67,572","113,276",1,"141,331","17,742,475","10,309,520","2,324,329,725","318,339","3,422,899","2,117","311,421","271,659,035","321,788",57,1,"16,681,738"
11-13-17,"18,692,769","6,635","597,502,689","1,364,422,081,120","72,162","104,012",1,"141,172","14,299,314","8,681,701","1,833,276,923","276,287","3,861,149","2,125","261,563","271,337,247","271,995",54,1,"16,679,838"
11-12-17,"18,648,418","6,550","1,259,093,768","1,364,422,081,120","76,375","167,663",1,"141,040","16,126,660","9,495,611","2,115,296,496","322,935","4,374,154","2,209","299,449","271,065,252","309,299",54,1,"16,678,238"
11-11-17,"18,630,876","5,716","1,601,736,904","1,364,422,081,120","71,130","137,510",1,"140,894","8,791,672","5,426,063","1,844,282,045","322,636","2,087,931","2,325","182,691","270,755,953","185,966",49,0,"16,676,488"
11-10-17,"18,584,907","6,363","805,734,191","1,364,422,081,120","55,380","89,924",1,"140,810","8,125,361","5,426,063","1,344,145,630","211,249","1,664,880","2,433","189,193","270,569,987","194,634",43,1,"16,675,488"
11-09-17,"18,557,651","6,719","1,128,392,931","1,423,367,213,140","56,453","89,812",1,"140,725","11,846,298","8,139,095","1,944,419,256","289,374","2,333,951","2,265","260,777","270,375,353","271,745",45,1,"16,674,488"
11-08-17,"18,511,288","7,158","528,018,382","1,452,839,779,140","73,371","124,398",1,"140,599","15,722,628","11,049,822","2,267,000,254","316,707","2,237,810","2,231","329,691","270,103,608","341,281",48,1,"16,672,988"
11-07-17,"18,484,924","7,416","1,261,823,617","1,452,839,779,140","72,239","139,378",1,"140,442","15,069,065","10,399,832","1,888,939,271","254,716","4,267,267","2,093","288,774","269,762,327","301,346",52,1,"16,671,075"
11-06-17,"18,435,363","7,092","533,993,339","1,452,839,779,140","51,710","145,154",1,"140,295","15,347,363","11,266,485","1,826,009,241","257,470","3,523,838","2,152","323,686","269,460,981","335,636",47,1,"16,669,275"
11-05-17,"18,405,132","6,989","832,822,399","1,452,839,779,140","74,707","148,287",1,"140,134","12,842,419","9,605,401","1,568,492,020","224,421","2,782,649","2,038","260,465","269,125,345","271,029",49,1,"16,667,325"
11-04-17,"18,362,896","7,377","568,573,468","1,452,839,779,140","67,362","246,482",1,"139,996","13,953,619","10,183,169","1,309,726,635","177,542","6,077,425","1,785","243,244","268,854,316","251,728",57,1,"16,665,663"
11-03-17,"18,325,695","7,438","563,573,963","1,452,839,779,140","54,545","90,442",1,"139,849","13,655,330","9,388,737","1,424,364,753","191,510","5,765,969","2,262","283,626","268,602,588","294,121",48,1,"16,663,900"
11-02-17,"18,292,760","7,198","374,814,689","1,452,839,779,140","47,963","88,667",1,"139,715","12,261,316","8,594,306","1,672,135,010","232,315","3,036,930","2,333","268,570","268,308,467","277,598",46,1,"16,662,275"
11-01-17,"18,234,008","7,068","1,143,999,865","1,452,839,779,140","64,970","183,210",1,"139,590","14,715,618","10,833,159","2,392,765,594","338,534","2,251,378","2,276","329,152","268,030,869","341,474",45,1,"16,660,788"
10-31-17,"18,201,731","6,665","630,017,228","1,452,839,779,140","70,585","155,488",1,"139,435","10,194,587","7,872,095","1,269,856,000","190,517","1,711,621","2,218","234,730","267,689,395","241,788",44,1,"16,658,325"
10-30-17,"18,130,912","6,389","454,449,998","1,452,839,779,140","64,731","181,594",1,"139,321","12,093,705","9,966,506","1,589,432,236","248,790","1,916,686","2,011","267,062","267,447,607","277,535",45,1,"16,656,963"
10-29-17,"18,107,092","6,106","144,588,379","1,452,839,779,140","70,603","223,021",1,"139,178","12,373,554","10,616,495","1,681,454,664","275,383","1,855,584","2,150","305,616","267,170,072","316,077",41,1,"16,655,238"
10-28-17,"18,085,974","6,155","572,711,008","1,452,839,779,140","56,222","170,638",1,"139,027","13,055,676","11,122,043","1,306,645,347","212,275","1,659,960","2,169","317,564","266,853,995","334,025",41,1,"16,653,400"
10-27-17,"18,053,981","5,777","278,764,451","1,452,839,779,140","44,381","88,682",1,"138,870","6,888,711","6,138,790","645,113,301","111,675","1,417,696","2,436","202,033","266,519,970","207,066",35,1,"16,651,475"
10-26-17,"18,019,904","5,773","402,366,482","1,452,839,779,140","49,957","122,349",1,"138,784","8,162,322","7,510,990","952,470,635","165,001","2,003,977","2,372","239,768","266,312,904","246,692",34,1,"16,650,413"
10-25-17,"17,985,489","5,893","450,583,866","1,233,777,273,050","54,882","148,500",1,"138,677","13,483,501","12,999,790","1,970,506,447","334,373","1,743,920","1,477","254,278","266,066,212","265,827",52,1,"16,649,113"
10-24-17,"17,947,154","5,670","446,193,088","1,196,792,694,100","67,667","148,337",1,"138,545","13,473,858","11,006,184","2,136,570,418","376,845","1,984,823","1,705","303,906","265,800,385","315,415",44,1,"16,646,863"
10-23-17,"17,910,984","5,506","628,021,830","1,196,792,694,100","62,846","209,121",1,"138,366","12,165,126","9,935,312","2,102,862,590","381,934","2,586,032","2,079","334,582","265,484,970","347,220",36,1,"16,644,550"
10-22-17,"17,882,627","5,876","633,277,065","1,196,792,694,100","77,104","158,557",1,"138,192","13,224,118","10,173,284","2,396,482,267","407,837","2,994,818","1,849","304,154","265,137,750","316,096",43,1,"16,642,463"
10-21-17,"17,834,066","5,983","469,066,735","1,196,792,694,100","50,564","240,364",1,"138,026","14,108,349","10,827,706","1,006,861,960","168,282","1,499,204","1,589","281,552","264,821,654","289,131",50,1,"16,640,325"
10-20-17,"17,804,248","6,020","555,571,196","1,196,792,694,100","50,502","252,345",1,"137,843","12,037,733","9,102,412","929,448,821","154,384","1,562,589","2,041","303,876","264,532,523","312,257",40,1,"16,638,050"
10-19-17,"17,762,488","5,979","583,507,047","1,196,792,694,100","56,143","139,806",1,"137,684","13,875,337","10,649,227","1,118,742,454","187,098","1,927,247","1,745","302,533","264,220,266","312,409",46,1,"16,636,138"
10-18-17,"17,736,481","5,728","376,178,014","1,196,792,694,100","59,745","234,033",1,"137,506","13,368,297","10,589,734","1,448,451,292","252,888","1,911,312","2,006","347,287","263,907,857","356,985",39,1,"16,633,900"
10-17-17,"17,705,898","5,546","627,801,314","1,196,792,694,100","59,137","231,943",1,"137,329","11,106,218","8,983,426","1,395,865,356","251,681","2,154,353","2,183","319,822","263,550,872","329,579",35,1,"16,631,675"
10-16-17,"17,665,382","5,604","322,503,478","1,196,792,694,100","61,876","236,199",1,"137,175","12,204,887","9,756,834","1,111,146,061","198,287","2,826,172","2,039","323,040","263,221,293","334,438",38,1,"16,629,788"
10-15-17,"17,639,093","5,711","322,723,337","1,196,792,694,100","63,428","201,562",1,"137,013","13,050,105","10,351,762","1,149,273,839","201,231","1,925,206","1,809","305,074","262,886,855","314,725",43,1,"16,627,738"
10-14-17,"17,605,668","5,647","490,476,847","1,182,954,806,240","66,927","256,547",1,"136,854","14,217,107","11,601,113","868,580,435","153,804","1,324,664","1,454","275,556","262,572,130","283,473",52,2,"16,625,563"
10-13-17,"17,575,874","5,739","328,701,505","1,123,863,285,130","39,777","84,903",1,"136,679","11,022,592","7,877,324","1,023,554,359","178,337","1,518,393","2,079","282,673","262,288,657","293,140",39,1,"16,623,125"
10-12-17,"17,529,679","5,564","953,598,649","1,123,863,285,130","49,335","131,828",1,"136,535","10,610,179","7,597,986","1,448,422,310","260,329","1,971,283","2,278","299,488","261,995,517","309,819",36,1,"16,621,363"
10-11-17,"17,497,046","5,325","680,358,364","1,123,863,285,130","65,736","187,564",1,"136,396","10,754,101","8,547,735","1,107,300,180","207,939","1,979,555","1,916","282,958","261,685,698","293,164",38,1,"16,619,663"
